Bloque,Algoritmo,Paralelizacion,Repeticion,ErrorAbsoluto,Theorical_min,Min_Found
lennard_jones,SGA,No,8,6.60642,-9.10385,-2.49743
rosenbrock,SGA,No,3,6.3913,0,6.3913
griewank,SGA,Paralela,9,0.00943261,0,0.00943261
rastrigin,SGA,No,5,0.23077,0,0.23077
griewank,PSO,Paralela,3,0,0,0
rosenbrock,PSO,Paralela,5,1.36292e-11,0,1.36292e-11
ackley,PSO,No,10,2.14388,0,2.14388
ackley,PSO,No,1,4.28148,0,4.28148
griewank,PSO,Paralela,7,0,0,0
griewank,PSO,No,6,0.0888048,0,0.0888048
griewank,PSO,No,8,0.730591,0,0.730591
ackley,SGA,Paralela,3,0.00656665,0,0.00656665
rosenbrock,SGA,Paralela,8,0.231228,0,0.231228
rastrigin,SGA,Paralela,7,0.000312504,0,0.000312504
lennard_jones,PSO,Paralela,5,3.8215e-05,-9.10385,-9.10381
rastrigin,PSO,No,9,1.20008,0,1.20008
rosenbrock,PSO,No,5,2.99415,0,2.99415
lennard_jones,PSO,Paralela,2,5.42735e-06,-9.10385,-9.10385
rosenbrock,PSO,No,2,8.22971,0,8.22971
rastrigin,PSO,Paralela,8,0,0,0
lennard_jones,SGA,Paralela,5,0.233204,-9.10385,-8.87065
lennard_jones,SGA,No,1,6.51213,-9.10385,-2.59173
ackley,SGA,No,5,4.98329,0,4.98329
rosenbrock,PSO,No,10,24.4598,0,24.4598
griewank,SGA,No,4,0.0273446,0,0.0273446
griewank,SGA,No,10,0.425737,0,0.425737
rosenbrock,SGA,No,6,31.1062,0,31.1062
rosenbrock,SGA,No,9,3.46732,0,3.46732
rosenbrock,PSO,No,7,1.33389,0,1.33389
rosenbrock,PSO,No,4,2.19588,0,2.19588
lennard_jones,SGA,Paralela,7,0.259332,-9.10385,-8.84452
rastrigin,PSO,No,1,0.400847,0,0.400847
rastrigin,SGA,Paralela,9,0.00018354,0,0.00018354
rastrigin,PSO,No,5,0.0917259,0,0.0917259
rastrigin,SGA,Paralela,6,5.3832e-06,0,5.3832e-06
rastrigin,PSO,No,10,0.00410755,0,0.00410755
griewank,PSO,Paralela,10,0,0,0
griewank,SGA,No,1,0.0987736,0,0.0987736
ackley,SGA,No,1,0.137673,0,0.137673
rosenbrock,SGA,No,10,2.02679,0,2.02679
lennard_jones,PSO,Paralela,4,1.14917e-06,-9.10385,-9.10385
ackley,PSO,No,7,5.07142,0,5.07142
rastrigin,SGA,Paralela,1,0.000208085,0,0.000208085
rastrigin,SGA,No,8,1.16804,0,1.16804
ackley,SGA,Paralela,9,0.0183693,0,0.0183693
rastrigin,SGA,Paralela,4,0.000574245,0,0.000574245
ackley,SGA,Paralela,10,0.00370439,0,0.00370439
griewank,SGA,No,2,0.0968983,0,0.0968983
lennard_jones,PSO,No,6,6.86519,-9.10385,-2.23866
rastrigin,PSO,Paralela,4,0,0,0
griewank,SGA,No,5,0.676029,0,0.676029
ackley,SGA,No,3,2.31377,0,2.31377
lennard_jones,SGA,Paralela,4,0.141273,-9.10385,-8.96258
rosenbrock,SGA,Paralela,10,0.457654,0,0.457654
rastrigin,PSO,Paralela,5,0,0,0
griewank,SGA,Paralela,4,8.47971e-05,0,8.47971e-05
griewank,SGA,Paralela,1,0.0157069,0,0.0157069
griewank,PSO,No,2,0.361977,0,0.361977
ackley,SGA,No,2,0.397681,0,0.397681
rastrigin,PSO,No,8,0.469873,0,0.469873
rastrigin,PSO,Paralela,7,0,0,0
rosenbrock,SGA,Paralela,5,0.172555,0,0.172555
ackley,SGA,Paralela,4,0.00238781,0,0.00238781
ackley,PSO,No,6,0.582205,0,0.582205
lennard_jones,SGA,No,6,6.82032,-9.10385,-2.28354
rastrigin,PSO,Paralela,2,0,0,0
rastrigin,SGA,No,10,0.128803,0,0.128803
rastrigin,PSO,Paralela,10,0,0,0
lennard_jones,SGA,No,3,6.98618,-9.10385,-2.11767
griewank,SGA,Paralela,7,0.00840893,0,0.00840893
rosenbrock,SGA,No,8,3.47403,0,3.47403
ackley,PSO,Paralela,1,4.44089e-16,0,4.44089e-16
lennard_jones,SGA,Paralela,9,0.453476,-9.10385,-8.65038
rosenbrock,SGA,Paralela,9,0.0232977,0,0.0232977
griewank,SGA,Paralela,10,0.00633912,0,0.00633912
ackley,PSO,No,4,3.58478,0,3.58478
ackley,SGA,Paralela,5,0.011408,0,0.011408
griewank,PSO,Paralela,9,0,0,0
ackley,PSO,Paralela,4,4.44089e-16,0,4.44089e-16
griewank,PSO,No,7,0.211287,0,0.211287
lennard_jones,PSO,No,10,6.32851,-9.10385,-2.77534
rastrigin,PSO,No,7,0.0373359,0,0.0373359
lennard_jones,PSO,No,1,7.53303,-9.10385,-1.57083
ackley,PSO,Paralela,3,4.44089e-16,0,4.44089e-16
ackley,SGA,No,8,0.852644,0,0.852644
rosenbrock,PSO,Paralela,9,1.42375e-09,0,1.42375e-09
ackley,SGA,Paralela,1,0.00177246,0,0.00177246
ackley,PSO,Paralela,5,4.44089e-16,0,4.44089e-16
rosenbrock,PSO,Paralela,7,4.87301e-10,0,4.87301e-10
rosenbrock,PSO,No,8,0.15303,0,0.15303
lennard_jones,SGA,No,4,6.11741,-9.10385,-2.98644
ackley,PSO,No,2,0.6632,0,0.6632
rastrigin,PSO,Paralela,3,0,0,0
rastrigin,SGA,No,6,1.04734,0,1.04734
ackley,PSO,Paralela,7,4.44089e-16,0,4.44089e-16
